S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
162,NBF3,9.17,-0.01,-0.11,9.02,9.34,8.91,"30,650.00",9.18
163,NBL,245.00,-1.30,-0.53,245.00,246.90,244.30,"58,427.00",246.30
164,NBLD85,"1,011.00",-1.50,-0.15,"1,031.00","1,031.00","1,011.00",150.00,"1,012.50"
165,NBLD87,"1,027.00",-13.00,-1.25,"1,025.00","1,027.00","1,025.00",55.00,"1,040.00"
166,NESDO,"2,377.00",27.50,1.17,"2,311.10","2,443.00","2,311.10","2,608.00","2,349.50"
167,NFS,715.00,-14.00,-1.92,715.00,742.50,703.00,"63,472.00",729.00
168,NGPL,292.00,18.50,6.76,270.20,299.80,269.00,"609,167.00",273.50
169,NHDL,790.00,-14.10,-1.75,820.00,829.80,783.10,"84,362.00",804.10
170,NHPC,220.00,4.50,2.09,215.00,221.30,215.00,"115,410.00",215.50
171,NIBD84,"1,023.00",-7.00,-0.68,"1,023.20","1,023.20","1,023.00",50.00,"1,030.00"
172,NIBLGF,8.42,-0.18,-2.09,8.45,8.52,8.25,"324,100.00",8.60
173,NIBLSTF,9.07,-0.01,-0.11,8.90,9.08,8.90,"1,900.00",9.08
174,NIBSF2,8.31,-0.19,-2.24,8.33,8.67,8.08,"66,423.00",8.50
175,NICA,357.00,4.00,1.13,353.00,362.00,350.00,"104,728.00",353.00
176,NICAD8283,"1,075.00",-16.50,-1.51,"1,075.00","1,075.00","1,069.90","1,345.00","1,091.50"
177,NICAD85/86,"1,061.10",7.10,0.67,"1,057.10","1,061.10","1,057.00",155.00,"1,054.00"
178,NICBF,9.36,-0.38,-3.90,9.55,9.55,9.36,"3,500.00",9.74
179,NICD88,"1,021.00",-2.00,-0.20,"1,021.00","1,021.00","1,021.00",25.00,"1,023.00"
180,NICFC,9.50,-0.13,-1.35,9.44,9.50,9.00,"174,600.00",9.63
181,NICGF,10.57,0.01,0.09,10.57,10.70,10.56,"29,300.00",10.56
182,NICGF2,8.47,-0.05,-0.59,8.37,8.60,8.37,"1,003,300.00",8.52
183,NICL,977.00,-5.00,-0.51,965.00,996.00,965.00,"9,327.00",982.00
184,NICLBSL,659.10,1.10,0.17,670.00,670.90,645.10,"10,375.00",658.00
185,NICSF,9.59,0.18,1.91,9.50,9.68,8.53,"51,810.00",9.41
186,NIFRA,261.00,5.20,2.03,260.00,262.00,254.60,"170,145.00",255.80
187,NIFRAUR85/86,955.00,-5.00,-0.52,955.00,955.00,955.00,25.00,960.00
188,NIL,938.90,-2.90,-0.31,948.70,948.70,930.30,"66,995.00",941.80
189,NIMB,208.50,0.50,0.24,206.10,209.40,206.10,"99,192.00",208.00
190,NIMBPO,159.80,-0.20,-0.12,156.90,162.90,147.70,"38,838.00",160.00
191,NLG,"1,089.00",-2.00,-0.18,"1,092.00","1,092.00","1,055.00","27,042.00","1,091.00"
192,NLIC,732.00,-9.00,-1.21,755.70,755.70,730.00,"38,882.00",741.00
193,NLICL,591.20,2.10,0.36,600.80,610.00,578.20,"25,626.00",589.10
194,NMB,240.00,0.00,0.00,242.80,242.80,238.30,"44,918.00",240.00
195,NMB50,10.22,0.12,1.19,10.10,10.22,10.10,"6,010.00",10.10
196,NMBD87/88,"1,010.00",-17.00,-1.66,"1,010.00","1,010.00","1,010.00",25.00,"1,027.00"
197,NMBMF,701.00,6.50,0.94,700.00,708.30,691.10,"8,437.00",694.50
198,NMFBS,"1,305.00",10.00,0.77,"1,280.00","1,305.60","1,280.00","1,566.00","1,295.00"
199,NMLBBL,693.00,11.80,1.73,683.10,695.00,683.10,"18,852.00",681.20
200,NRIC,946.50,28.50,3.10,920.00,947.00,920.00,"310,474.00",918.00
201,NRM,548.00,36.00,7.03,510.00,551.00,510.00,"292,463.00",512.00
202,NRN,"1,322.00",44.10,3.45,"1,253.00","1,329.00","1,253.00","223,130.00","1,277.90"
203,NSIF2,10.01,-0.12,-1.18,10.20,10.20,10.01,"210,120.00",10.13
204,NTC,907.00,5.50,0.61,916.90,916.90,900.00,"11,351.00",901.50
205,NUBL,670.00,1.00,0.15,668.00,675.00,660.00,"16,582.00",669.00
206,NWCL,998.90,8.90,0.90,990.00,998.90,980.50,"4,424.00",990.00
207,NYADI,707.80,64.30,9.99,656.30,707.80,656.30,"135,203.00",643.50
208,OHL,910.00,-8.90,-0.97,936.00,936.00,901.40,"4,736.00",918.90
209,PBD84,"1,081.00",-19.00,-1.73,"1,100.00","1,100.00","1,081.00",125.00,"1,100.00"
210,PBD88,"1,111.00",6.00,0.54,"1,111.00","1,111.00","1,111.00",75.00,"1,105.00"
211,PBLD84,"1,111.80",41.80,3.91,"1,075.00","1,111.80","1,075.00",305.00,"1,070.00"
212,PBLD86,"1,097.00",-8.00,-0.72,"1,097.00","1,097.00","1,097.00",50.00,"1,105.00"
213,PCBL,237.00,-2.00,-0.84,236.00,240.00,236.00,"74,818.00",239.00
214,PFL,392.10,8.10,2.11,388.00,396.60,374.00,"103,787.00",384.00
215,PHCL,584.00,8.90,1.55,586.60,594.00,576.10,"74,641.00",575.10
216,PMHPL,319.00,13.00,4.25,312.10,321.00,301.10,"96,998.00",306.00
217,PMLI,578.30,13.30,2.35,565.00,578.30,561.20,"36,107.00",565.00
218,PPCL,336.00,21.50,6.84,313.00,340.50,313.00,"184,824.00",314.50
219,PPL,615.90,1.00,0.16,627.00,627.00,600.30,"54,189.00",614.90
220,PRIN,972.20,0.20,0.02,990.00,990.00,970.40,"12,254.00",972.00
221,PROFL,547.00,8.00,1.48,548.00,558.00,527.00,"39,273.00",539.00
222,PRSF,9.96,0.02,0.20,9.91,9.96,9.91,600.00,9.94
223,PRVU,217.50,0.10,0.05,216.10,219.70,215.30,"130,275.00",217.40
224,PSF,9.92,-0.09,-0.90,9.90,10.01,9.89,"46,900.00",10.01
225,RADHI,382.00,9.00,2.41,380.00,387.00,376.50,"55,964.00",373.00
226,RAWA,840.00,29.00,3.58,827.00,852.00,813.00,"36,509.00",811.00
227,RBCL,"14,450.00",87.00,0.61,"14,311.00","14,550.00","14,311.00",416.00,"14,363.00"
228,RBCLPO,"11,180.00",30.00,0.27,"11,200.00","11,340.00","11,177.00",330.00,"11,150.00"
229,RFPL,"1,015.00",-15.00,-1.46,"1,009.40","1,028.00",966.60,"92,055.00","1,030.00"
230,RHGCL,652.80,19.80,3.13,623.00,657.00,620.40,"63,681.00",633.00
231,RHPL,443.60,1.60,0.36,444.00,450.00,442.10,"136,575.00",442.00
232,RIDI,244.00,11.10,4.77,236.60,246.00,231.30,"195,849.00",232.90
233,RLFL,505.00,10.00,2.02,500.00,516.00,488.00,"42,100.00",495.00
234,RMF1,8.90,0.10,1.14,8.66,8.90,8.53,"75,400.00",8.80
235,RMF2,8.97,0.00,0.00,8.80,8.97,8.80,400.00,8.97
236,RNLI,522.80,0.00,0.00,517.00,527.00,517.00,"54,502.00",522.80
237,RSDC,660.00,2.20,0.33,667.00,670.00,652.00,"13,217.00",657.80
238,RURU,770.00,23.50,3.15,760.00,775.20,746.00,"69,715.00",746.50
239,SADBL,405.90,19.00,4.91,388.40,405.90,388.40,"65,065.00",386.90
240,SAGF,9.18,0.03,0.33,9.02,9.30,9.02,"7,100.00",9.15
241,SAHAS,489.00,4.70,0.97,484.00,493.00,484.00,"210,843.00",484.30
242,SALICO,716.10,-1.80,-0.25,720.00,725.00,716.10,"5,985.00",717.90
243,SAMAJ,"3,352.40",-44.60,-1.31,"3,454.00","3,455.00","3,350.00",379.00,"3,397.00"
244,SAND2085,"1,090.00",-14.50,-1.31,"1,082.50","1,090.00","1,069.20",200.00,"1,104.50"
245,SANIMA,291.10,-1.50,-0.51,293.10,295.00,291.10,"63,824.00",292.60
246,SAPDBL,"1,392.40",-67.60,-4.63,"1,430.80","1,572.00","1,328.90","272,800.00","1,460.00"
247,SARBTM,781.00,6.00,0.77,788.00,788.00,770.00,"39,879.00",775.00
248,SBCF,9.10,0.08,0.89,9.02,9.10,8.96,"11,352.00",9.02
249,SBD87,"1,032.20",-7.80,-0.75,"1,032.20","1,032.20","1,032.20",25.00,"1,040.00"
250,SBI,416.00,-2.00,-0.48,417.90,420.00,413.10,"87,772.00",418.00
251,SBID83,"1,093.70",-22.30,-2.00,"1,093.70","1,093.70","1,093.70",100.00,"1,116.00"
252,SBID89,"1,080.00",-15.00,-1.37,"1,075.50","1,080.00","1,075.50",100.00,"1,095.00"
253,SBL,286.00,12.00,4.38,274.00,286.00,272.00,"87,577.00",274.00
254,SBLD2082,"1,090.00",-5.00,-0.46,"1,090.00","1,090.00","1,090.00",500.00,"1,095.00"
255,SBLD83,"1,079.00",-9.00,-0.83,"1,066.90","1,079.00","1,058.00",50.00,"1,088.00"
256,SBLD84,"1,028.60",0.00,0.00,"1,028.60","1,028.60","1,028.60",205.00,"1,028.60"
257,SBLD89,"1,199.50",0.50,0.04,"1,180.00","1,199.50","1,176.00",175.00,"1,199.00"
258,SCB,670.00,-2.00,-0.30,667.10,680.00,667.10,"18,528.00",672.00
259,SDBD87,"1,048.00",-1.00,-0.10,"1,043.00","1,048.00","1,043.00",75.00,"1,049.00"
260,SEF,9.50,-0.11,-1.14,9.50,9.50,9.50,"11,800.00",9.61
261,SFCL,560.00,24.90,4.65,535.10,565.00,520.00,"72,185.00",535.10
262,SFEF,9.64,0.62,6.87,9.11,9.64,9.11,"46,320.00",9.02
263,SGHC,620.00,10.30,1.69,604.00,621.00,604.00,"60,374.00",609.70
264,SGIC,679.00,3.80,0.56,679.00,687.00,670.10,"30,878.00",675.20
265,SGICP,250.00,0.00,0.00,250.00,250.00,250.00,"7,300.00",250.00
266,SHEL,254.90,4.90,1.96,248.30,256.50,248.30,"171,314.00",250.00
267,SHINE,434.00,28.00,6.90,403.00,435.00,403.00,"151,109.00",406.00
268,SHIVM,546.50,-2.30,-0.42,555.00,566.10,546.00,"78,270.00",548.80
269,SHL,515.00,5.30,1.04,511.00,517.00,500.00,"44,820.00",509.70
270,SHLB,"2,616.00",-4.00,-0.15,"2,649.90","2,703.00","2,611.00","5,457.00","2,620.00"
271,SHPC,512.50,-1.50,-0.29,504.10,519.90,504.10,"138,069.00",514.00
272,SICL,795.20,-0.80,-0.10,791.00,805.00,790.00,"10,634.00",796.00
273,SIFC,528.50,10.50,2.03,528.00,533.00,505.00,"32,717.00",518.00
274,SIGS2,9.56,0.18,1.92,9.56,9.56,9.56,"10,000.00",9.38
275,SIGS3,9.50,0.11,1.17,9.31,9.69,9.31,"1,300.00",9.39
276,SIKLES,"1,205.60",109.60,10.00,"1,100.00","1,205.60","1,100.00","51,321.00","1,096.00"
277,SINDU,"1,246.80",107.90,9.47,"1,116.20","1,246.80","1,072.10","141,231.00","1,138.90"
278,SJCL,360.10,0.10,0.03,361.40,364.40,357.00,"27,400.00",360.00
279,SJLIC,447.20,-2.80,-0.62,448.00,450.00,446.00,"43,130.00",450.00
280,SKBBL,803.00,-2.00,-0.25,789.00,817.00,789.00,"10,813.00",805.00
281,SLBBL,935.00,-15.80,-1.66,968.00,968.00,930.00,"7,011.00",950.80
282,SLBSL,"2,854.00",259.00,9.98,"2,543.10","2,854.00","2,335.50","36,584.00","2,595.00"
283,SLCF,9.44,0.12,1.29,9.20,9.44,9.20,"29,650.00",9.32
284,SMATA,887.90,24.00,2.78,870.00,889.70,860.00,"11,930.00",863.90
285,SMB,"2,700.00",-70.00,-2.53,"2,823.00","2,823.00","2,695.00","8,215.00","2,770.00"
286,SMFBS,"1,966.00",15.80,0.81,"1,938.40","1,987.90","1,938.40","3,778.00","1,950.20"
287,SMH,"1,050.10",-5.00,-0.47,"1,076.00","1,089.00","1,049.00","9,065.00","1,055.10"
288,SMHL,"1,175.00",7.90,0.68,"1,190.00","1,205.00","1,162.00","25,262.00","1,167.10"
289,SMJC,612.00,10.10,1.68,613.00,615.90,602.10,"82,118.00",601.90
290,SMPDA,930.00,1.00,0.11,946.00,946.00,921.00,"9,634.00",929.00
291,SNLI,639.90,3.20,0.50,631.00,642.00,631.00,"27,407.00",636.70
292,SONA,469.00,0.00,0.00,470.00,473.10,465.00,"39,818.00",469.00
293,SPC,627.00,29.00,4.85,605.00,632.00,605.00,"186,334.00",598.00
294,SPDL,345.00,5.00,1.47,344.90,351.00,343.00,"167,367.00",340.00
295,SPHL,872.20,-2.80,-0.32,885.00,909.00,872.20,"12,654.00",875.00
296,SPIL,825.00,0.00,0.00,809.10,827.20,809.10,"8,978.00",825.00
297,SPL,"1,002.00",-22.90,-2.23,"1,024.90","1,050.00","1,000.30","8,752.00","1,024.90"
298,SRBLD83,"1,069.00",9.00,0.85,"1,048.00","1,069.00","1,047.70",75.00,"1,060.00"
299,SRLI,421.00,-0.10,-0.02,421.10,426.90,420.00,"63,766.00",421.10
300,SSHL,231.90,2.90,1.27,230.00,234.00,228.00,"127,358.00",229.00
301,STC,"5,300.00",-1.10,-0.02,"5,385.00","5,385.00","5,286.50","1,943.00","5,301.10"
302,SWBBL,865.00,-7.00,-0.80,857.00,875.00,856.00,"13,164.00",872.00
303,SWMF,753.00,3.00,0.40,760.00,763.00,745.10,"7,382.00",750.00
304,TAMOR,601.40,-11.60,-1.89,601.00,618.00,601.00,"96,506.00",613.00
305,TPC,590.00,16.20,2.82,581.00,605.00,577.00,"174,146.00",573.80
306,TRH,"1,175.00",21.00,1.82,"1,177.00","1,247.00","1,155.10","16,093.00","1,154.00"
307,TSHL,951.50,86.50,10.00,875.00,951.50,866.10,"43,928.00",865.00
308,TVCL,630.00,26.00,4.30,605.00,631.30,605.00,"81,696.00",604.00
309,UAIL,670.00,15.00,2.29,660.00,673.00,642.20,"24,447.00",655.00
310,UHEWA,874.00,19.00,2.22,872.00,879.20,855.00,"15,544.00",855.00
311,ULBSL,"4,675.00",425.00,10.00,"4,170.00","4,675.00","4,170.00","9,668.00","4,250.00"
312,ULHC,582.00,12.00,2.11,570.00,583.00,568.00,"68,427.00",570.00
313,UMHL,355.00,6.00,1.72,355.90,357.00,348.10,"169,395.00",349.00
314,UMRH,735.00,23.00,3.23,726.20,740.00,701.10,"204,935.00",712.00
315,UNHPL,359.00,19.00,5.59,346.70,367.00,339.00,"348,804.00",340.00
316,UNL,"46,500.00",500.00,1.09,"46,000.00","46,500.00","46,000.00",30.00,"46,000.00"
317,UNLB,"2,700.00",20.00,0.75,"2,635.00","2,888.60","2,630.00","13,647.00","2,680.00"
318,UPCL,302.50,17.50,6.14,289.90,307.00,286.00,"370,719.00",285.00
319,UPPER,201.70,0.20,0.10,204.90,204.90,200.00,"183,431.00",201.50
320,USHEC,735.00,10.20,1.41,712.00,752.00,712.00,"39,476.00",724.80
321,USHL,832.20,10.70,1.30,825.00,835.00,814.00,"10,101.00",821.50
322,USLB,"1,545.00",9.00,0.59,"1,523.10","1,565.00","1,523.10","3,186.00","1,536.00"
323,VLBS,839.10,-1.90,-0.23,857.00,874.00,839.10,"6,951.00",841.00
324,VLUCL,756.00,17.00,2.30,738.00,770.00,732.00,"62,185.00",739.00
325,WNLB,"2,758.10",-25.90,-0.93,"2,733.10","2,784.80","2,730.00","2,098.00","2,784.00"
